department,province,district,yearmonth,category
La Libertad,Trujillo,Moche,202507,empty_field
La Libertad,Trujillo,Moche,202508,empty_field
La Libertad,Trujillo,Moche,202509,empty_field
La Libertad,Trujillo,Moche,202510,empty_field
La Libertad,Trujillo,Moche,202511,empty_field
La Libertad,Trujillo,Moche,202512,empty_field
La Libertad,Trujillo,Moche,202601,empty_field
La Libertad,Trujillo,Moche,202602,empty_field
La Libertad,Trujillo,Moche,202603,empty_field
La Libertad,Trujillo,Moche,202604,empty_field
La Libertad,Trujillo,Moche,202605,empty_field
La Libertad,Trujillo,Trujillo,202412,empty_field
La Libertad,Trujillo,Trujillo,202501,empty_field
La Libertad,Trujillo,Trujillo,202502,empty_field
La Libertad,Trujillo,Trujillo,202503,empty_field
La Libertad,Trujillo,Trujillo,202504,empty_field
La Libertad,Trujillo,Trujillo,202505,empty_field
La Libertad,Trujillo,Trujillo,202506,empty_field
La Libertad,Trujillo,Trujillo,202507,empty_field
La Libertad,Trujillo,Trujillo,202508,empty_field
La Libertad,Trujillo,Trujillo,202509,empty_field
La Libertad,Trujillo,Trujillo,202510,empty_field
La Libertad,Trujillo,Trujillo,202511,empty_field
La Libertad,Trujillo,Trujillo,202512,empty_field
La Libertad,Trujillo,Trujillo,202601,empty_field
La Libertad,Trujillo,Trujillo,202602,empty_field
La Libertad,Trujillo,Trujillo,202603,empty_field
La Libertad,Trujillo,Trujillo,202604,empty_field
La Libertad,Trujillo,Trujillo,202605,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202412,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202501,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202502,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202503,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202504,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202505,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202506,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202507,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202508,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202509,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202510,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202511,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202512,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202601,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202602,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202603,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202604,empty_field
La Libertad,Trujillo,Victor Larco Herrera,202605,empty_field
Lambayeque,Chiclayo,Chiclayo,202412,empty_field
Lambayeque,Chiclayo,Chiclayo,202501,empty_field
Lambayeque,Chiclayo,Chiclayo,202502,empty_field
Lambayeque,Chiclayo,Chiclayo,202503,empty_field
Lambayeque,Chiclayo,Chiclayo,202504,empty_field
Lambayeque,Chiclayo,Chiclayo,202505,empty_field
Lambayeque,Chiclayo,Chiclayo,202506,empty_field
Lambayeque,Chiclayo,Chiclayo,202507,empty_field
Lambayeque,Chiclayo,Chiclayo,202508,empty_field
Lambayeque,Chiclayo,Chiclayo,202509,empty_field
Lambayeque,Chiclayo,Chiclayo,202510,empty_field
Lambayeque,Chiclayo,Chiclayo,202511,empty_field
Lambayeque,Chiclayo,Chiclayo,202512,empty_field
